no_exercise,diabetes,obesity,few_fruit_veg,smoker,high_blood_pres,poverty,population_size,chsi_state_name,all_death
22.6,7.5,28.3,75.7,24.8,17.5,7.9,44728,Pennsylvania,911.1
28.4,8.4,26.4,74.5,28.0,30.4,20.1,1463281,Pennsylvania,1046.6
23.8,7.7,24.5,84.3,24.7,24.5,10.3,147447,Pennsylvania,930.5
23.1,3.2,21.1,79.5,22.6,24.8,12.3,78907,Pennsylvania,851.1
27.8,6.3,28.0,78.3,27.1,21.7,12.0,41649,Pennsylvania,829.8
23.7,7.4,19.3,79.4,29.4,26.4,13.1,55928,Pennsylvania,918.1
28.5,9.0,25.4,76.6,25.5,29.7,9.7,206406,Pennsylvania,872.9
25.5,10.0,27.5,75.5,23.2,32.5,9.4,367635,Pennsylvania,848.9
23.5,6.9,23.3,75.0,21.3,24.6,7.5,408801,Pennsylvania,769.0
20.1,6.0,17.2,69.6,17.7,29.7,7.0,52743,Rhode Island,771.5
24.9,6.4,20.4,74.1,23.5,28.3,6.7,171590,Rhode Island,849.1
18.6,6.4,14.9,68.4,20.8,29.4,8.0,83740,Rhode Island,732.0
28.0,7.0,20.0,73.3,22.4,26.7,14.4,639653,Rhode Island,816.4
18.8,5.4,17.2,68.8,19.4,25.0,6.1,128463,Rhode Island,691.3
29.1,13.4,25.1,85.5,31.6,29.8,13.6,26133,South Carolina,857.7
25.3,10.9,27.0,77.2,26.5,35.0,13.5,150181,South Carolina,978.3
25.7,9.4,26.7,78.7,24.7,32.3,11.9,175514,South Carolina,996.0
30.6,6.6,28.8,76.0,23.5,31.7,17.2,23345,South Carolina,1074.6
17.4,7.4,16.8,72.9,21.0,30.5,11.1,137849,South Carolina,728.8
24.4,10.0,27.4,79.6,25.8,23.7,11.7,151673,South Carolina,926.0
20.7,8.3,21.0,74.0,22.0,25.2,14.1,330368,South Carolina,918.4
36.9,8.4,25.7,81.3,27.1,30.4,14.8,53844,South Carolina,1066.2
35.5,9.5,27.3,85.1,29.2,31.1,17.2,43435,South Carolina,1042.5
33.6,10.7,23.5,81.1,26.6,34.6,21.3,33363,South Carolina,971.0
28.5,11.9,32.8,83.6,29.2,30.2,18.6,39605,South Carolina,1013.7
28.1,11.6,28.6,83.0,27.2,32.6,18.2,67346,South Carolina,1119.1
36.9,8.5,28.0,82.7,25.5,28.7,20.4,30974,South Carolina,1172.1
25.3,7.1,27.0,80.2,22.1,26.5,11.2,112858,South Carolina,961.8
30.0,9.7,27.4,80.4,26.5,29.8,16.3,131097,South Carolina,1034.7
20.8,6.8,24.9,77.5,22.6,32.7,14.7,60983,South Carolina,886.3
21.5,7.3,21.8,75.5,21.1,25.7,12.0,407383,South Carolina,898.9
25.8,9.2,28.4,74.7,20.9,29.1,13.9,67979,South Carolina,956.4
22.3,7.7,25.1,75.5,31.3,28.6,13.1,226992,South Carolina,889.7
29.9,10.6,29.3,82.5,31.6,34.4,12.0,56486,South Carolina,954.1
30.0,8.4,28.5,73.0,24.7,27.9,13.7,63113,South Carolina,1008.3
30.1,9.8,30.8,80.2,28.2,35.3,14.8,70293,South Carolina,1013.2
20.7,6.7,23.1,75.5,25.0,26.2,10.5,235272,South Carolina,907.5
31.7,11.5,34.9,77.2,25.9,44.6,20.5,34904,South Carolina,1121.1
43.3,10.9,35.4,80.4,35.7,36.8,20.2,28021,South Carolina,1235.8
34.0,11.4,25.4,79.0,23.5,36.0,14.6,37250,South Carolina,952.1
22.9,9.1,22.4,74.1,23.5,30.7,11.7,69577,South Carolina,883.3
30.0,9.9,35.2,79.5,21.0,35.7,19.8,92167,South Carolina,1015.9
26.4,7.8,20.1,77.1,24.1,25.0,11.5,113575,South Carolina,856.5
20.1,7.9,22.2,73.6,20.1,25.5,13.9,340078,South Carolina,960.2
27.9,8.2,25.1,76.8,25.3,28.3,12.9,266809,South Carolina,989.7
27.6,9.7,27.5,75.7,24.1,26.9,16.3,105517,South Carolina,951.6
32.4,12.5,31.9,82.3,28.5,42.5,14.3,28539,South Carolina,1027.7
23.0,7.6,22.2,75.9,25.1,27.1,11.3,190097,South Carolina,925.9
32.1,7.0,24.3,82.7,14.6,34.1,11.7,2901,South Dakota,816.3
25.2,7.7,25.1,81.7,20.3,27.8,11.9,15896,South Dakota,775.1
22.4,5.1,22.7,80.3,28.8,33.4,27.4,3585,South Dakota,1017.7
27.9,6.0,22.3,73.8,16.0,31.4,13.0,7087,South Dakota,701.0
19.5,3.9,21.2,82.3,18.2,17.3,12.5,28121,South Dakota,689.0
21.9,6.7,24.9,82.3,20.3,23.7,10.1,34706,South Dakota,773.8
29.7,10.2,26.1,78.9,18.6,29.2,11.5,5187,South Dakota,717.7
28.1,8.0,25.4,78.1,25.0,27.5,13.8,9326,South Dakota,894.0
25.1,10.1,28.7,80.5,21.2,27.5,21.3,9194,South Dakota,865.7
16.3,3.9,22.8,78.3,18.5,19.9,17.7,12995,South Dakota,837.2
23.8,5.0,23.0,82.1,23.8,21.7,10.4,26010,South Dakota,758.3
34.2,13.8,38.3,82.4,28.5,23.8,27.5,4366,South Dakota,1128.9
24.0,6.7,18.7,76.5,20.1,30.9,9.9,7904,South Dakota,815.3
25.5,6.9,20.2,82.1,21.8,21.4,10.8,18777,South Dakota,777.0
27.4,4.9,24.0,73.1,19.4,31.2,13.1,5757,South Dakota,924.0
22.4,7.7,21.2,78.6,16.7,22.6,9.5,4296,South Dakota,720.6
25.9,12.1,31.4,79.4,38.9,25.7,25.1,6161,South Dakota,1109.8
32.9,6.2,18.7,81.7,17.0,23.3,11.5,3309,South Dakota,677.2
32.5,9.0,30.4,86.0,14.5,38.4,10.5,4112,South Dakota,736.1
22.8,10.9,25.0,77.9,19.7,34.4,14.1,7355,South Dakota,954.0
28.6,7.0,25.0,75.0,16.5,31.4,9.7,7384,South Dakota,807.1
31.7,8.5,26.3,81.6,17.2,31.5,16.5,4290,South Dakota,759.5
30.9,11.3,20.3,82.6,13.0,31.9,11.7,1912,South Dakota,769.5
24.5,5.1,23.4,77.7,23.3,23.8,10.6,5707,South Dakota,806.9
34.5,8.9,27.5,76.8,12.3,31.0,9.4,3307,South Dakota,672.0
19.7,6.8,23.9,80.3,17.3,27.7,9.9,16875,South Dakota,760.8
28.2,5.7,21.9,73.9,13.1,25.0,11.6,7581,South Dakota,759.7
32.7,6.2,26.4,74.0,14.3,29.8,12.8,2136,South Dakota,687.1
37.5,7.4,30.3,82.2,17.3,34.4,9.4,5532,South Dakota,840.4
25.6,5.6,23.5,83.7,22.5,25.1,10.5,11039,South Dakota,735.6
17.0,6.2,14.5,78.1,20.5,23.4,11.9,22395,South Dakota,763.4
19.8,4.3,18.9,83.9,20.6,18.7,4.4,33381,South Dakota,709.7
31.1,7.2,29.3,74.0,30.4,17.5,18.6,3919,South Dakota,924.3
23.1,6.2,22.9,81.0,15.9,24.2,9.7,5930,South Dakota,823.7
33.2,7.4,31.1,80.0,20.0,32.4,11.2,4418,South Dakota,696.4
20.5,5.0,21.5,83.2,22.3,26.3,10.1,24623,South Dakota,824.7
20.0,5.3,21.7,82.1,22.3,22.6,9.7,160087,South Dakota,770.1
21.2,8.8,25.8,77.5,22.5,25.7,9.3,6637,South Dakota,771.6
20.2,5.4,19.0,77.8,23.2,23.8,13.1,93580,South Dakota,806.4
31.8,7.4,21.3,78.0,13.7,28.2,13.8,3023,South Dakota,774.4
31.8,9.6,22.2,80.1,23.1,28.2,10.4,2351,South Dakota,831.5
31.1,9.0,26.9,80.1,27.6,30.7,18.0,10044,South Dakota,963.0
21.7,9.8,29.7,77.3,42.4,21.1,35.6,13657,South Dakota,1869.6
26.1,8.6,27.8,78.5,19.1,31.8,11.9,6899,South Dakota,817.2
26.0,8.7,25.3,84.9,19.1,31.1,8.5,2829,South Dakota,806.8
29.8,13.7,36.4,75.2,39.9,26.4,33.7,9882,South Dakota,1393.0
30.7,7.1,29.4,79.7,18.9,23.4,16.8,6065,South Dakota,805.6
25.0,5.7,19.6,81.8,25.4,23.1,8.3,8520,South Dakota,795.0
23.1,5.7,23.7,83.1,18.3,23.8,6.3,13462,South Dakota,771.3
26.7,6.8,26.5,74.7,24.8,23.4,15.7,5494,South Dakota,962.9
21.3,7.4,23.0,76.4,21.1,26.2,11.6,21718,South Dakota,750.6
32.6,12.4,25.3,71.2,25.4,34.7,13.1,72430,Tennessee,900.7
28.5,8.7,28.2,63.3,28.5,31.0,10.3,115535,Tennessee,967.6
31.6,10.3,28.9,77.2,20.4,30.9,12.5,92092,Tennessee,976.6
40.9,12.1,29.0,65.7,28.3,32.0,16.6,58865,Tennessee,969.9
33.9,9.5,21.4,74.4,22.6,36.7,13.2,50869,Tennessee,1015.7
28.5,7.5,28.7,71.8,24.9,34.4,14.1,51346,Tennessee,832.5
27.9,7.5,23.4,69.6,22.4,27.0,13.5,575261,Tennessee,981.9
33.1,9.9,29.4,76.5,32.8,38.9,15.3,37829,Tennessee,1101.8
35.8,5.1,24.6,78.4,36.3,37.1,12.5,41003,Tennessee,927.1
38.2,7.3,28.6,77.4,34.9,36.6,13.7,48148,Tennessee,1121.7
43.2,10.6,29.3,71.1,27.3,33.2,14.1,65318,Tennessee,1032.3
41.6,13.3,25.9,71.4,26.6,32.3,13.9,59898,Tennessee,1031.9
27.3,8.6,25.2,67.4,22.0,27.0,13.3,310935,Tennessee,944.4
42.1,10.1,18.3,70.3,24.6,27.0,14.1,56196,Tennessee,947.1
25.6,9.0,22.4,69.3,23.5,25.7,12.7,404972,Tennessee,929.8
37.3,13.3,32.7,71.4,34.7,34.9,14.4,41101,Tennessee,955.0
39.4,8.4,31.7,75.6,31.3,34.0,13.2,32392,Tennessee,1009.3
27.5,13.0,25.6,72.8,25.9,26.7,10.4,43387,Tennessee,938.1
33.6,10.1,24.7,67.8,27.2,38.7,13.8,51327,Tennessee,991.5
30.3,7.4,30.3,68.6,19.5,28.1,14.0,94916,Tennessee,953.5
30.7,8.0,25.8,68.0,26.7,23.8,11.6,76292,Tennessee,1025.0
24.7,6.6,20.0,68.3,27.1,25.2,12.3,147202,Tennessee,941.9
41.9,4.3,27.5,69.8,29.6,37.2,12.8,32213,Tennessee,990.5
26.2,6.6,20.1,69.9,28.9,27.2,14.2,66580,Tennessee,978.4
34.9,10.1,25.5,75.7,23.9,36.4,13.2,52889,Tennessee,974.1
32.8,7.8,28.1,65.4,24.6,22.6,9.7,60379,Tennessee,1032.9
26.6,7.3,25.1,68.4,24.6,26.9,9.2,218292,Tennessee,931.2
30.9,11.7,30.5,71.1,28.5,27.3,12.4,79282,Tennessee,939.8
32.0,7.7,27.8,72.1,21.3,28.6,16.6,909035,Tennessee,1039.4
33.7,11.9,25.0,65.0,23.8,36.4,12.8,152716,Tennessee,986.6
28.9,9.1,21.8,69.1,28.4,24.6,9.5,145009,Tennessee,906.8
40.5,9.4,30.6,78.0,36.8,32.5,11.5,55998,Tennessee,1047.4
34.5,8.1,21.3,74.1,27.6,27.8,13.6,112507,Tennessee,964.9
17.8,5.6,15.2,67.2,17.2,20.2,5.1,153595,Tennessee,805.3
22.6,7.1,24.0,71.6,29.1,27.5,7.9,100508,Tennessee,964.9
27.3,7.9,25.3,76.4,31.0,20.0,14.8,256057,Texas,871.8
26.1,9.1,30.6,77.9,19.5,25.5,17.6,1518370,Texas,849.8
25.2,3.8,32.0,76.4,22.8,25.3,11.5,278484,Texas,944.2
20.4,3.5,19.1,77.1,16.1,25.6,18.9,156305,Texas,839.3
39.2,10.2,32.0,80.2,13.9,23.2,29.5,378311,Texas,688.2
17.1,3.3,20.7,79.7,15.0,20.5,5.4,659457,Texas,752.8
27.8,6.6,22.5,76.2,20.0,25.1,16.9,2305454,Texas,878.3
22.2,4.6,23.3,80.1,17.3,17.3,8.3,554642,Texas,856.8
24.4,6.1,23.9,74.8,25.5,21.8,10.9,133474,Texas,976.3
24.4,8.1,23.6,77.4,18.7,19.3,25.7,721598,Texas,787.3
19.5,4.1,15.2,81.1,15.0,22.0,8.4,463650,Texas,773.0
24.9,9.3,28.6,79.0,27.4,28.4,13.7,277563,Texas,988.4
27.9,9.3,24.1,77.0,25.2,28.9,16.4,115649,Texas,1032.7
26.5,5.9,22.6,74.7,18.8,22.2,16.2,3693050,Texas,899.8
19.7,7.0,26.1,78.8,17.4,19.4,12.4,124432,Texas,801.5
33.6,7.1,31.1,78.0,15.7,18.7,31.0,678275,Texas,660.7
35.7,11.1,30.3,75.3,20.5,35.5,18.1,247571,Texas,985.1
27.5,9.1,25.7,78.1,25.0,28.1,10.9,146376,Texas,1011.1
26.7,8.4,25.5,75.6,24.7,32.1,17.6,252284,Texas,918.4
26.0,7.2,26.2,72.9,22.2,29.2,18.0,224668,Texas,895.8
23.1,7.4,24.9,78.3,17.1,22.3,10.4,378033,Texas,933.2
28.6,9.4,30.9,76.8,23.8,28.6,19.6,319704,Texas,896.4
26.5,7.5,23.8,70.8,22.5,18.7,11.0,102801,Texas,985.0
30.6,8.3,17.8,82.0,26.7,24.0,20.8,119852,Texas,1114.5
23.7,7.8,30.7,79.4,22.7,27.1,8.5,110053,Texas,796.0
33.2,9.6,28.1,78.0,21.0,27.7,14.7,190594,Texas,905.4
24.9,6.9,22.6,77.2,21.2,25.2,12.9,1620479,Texas,907.1
22.8,9.9,27.0,79.5,23.0,30.8,16.3,125039,Texas,960.2
19.2,5.8,18.7,73.1,19.6,16.3,13.9,888185,Texas,790.8
29.9,6.8,23.8,78.1,24.3,14.1,27.1,224695,Texas,755.1
28.8,7.7,26.7,84.3,20.6,28.9,15.6,125894,Texas,1016.6
22.3,5.1,22.3,75.8,19.9,19.1,6.9,333457,Texas,700.0
19.3,4.7,26.0,86.7,10.7,27.6,8.4,46440,Utah,811.2
16.5,5.0,18.4,77.2,6.2,15.8,11.4,98055,Utah,675.4
26.3,6.6,22.1,84.2,19.4,29.1,13.5,19437,Utah,927.9
14.8,4.9,19.7,80.2,9.7,18.0,7.4,268187,Utah,775.1
24.9,5.8,24.5,85.8,19.6,27.4,14.3,15354,Utah,1032.9
21.5,5.2,23.6,81.6,19.6,21.7,11.6,10711,Utah,807.8
19.9,7.1,17.6,72.3,22.9,23.9,13.9,8743,Utah,833.9
18.3,5.8,17.8,79.8,15.3,27.9,14.5,38311,Utah,744.5
26.5,6.0,22.9,84.7,12.3,27.1,11.7,12284,Utah,911.2
17.3,5.2,20.1,78.6,13.6,20.2,9.8,948172,Utah,806.3
22.1,5.7,19.3,81.5,8.3,23.4,22.6,14104,Utah,737.7
18.7,6.1,19.4,81.2,10.7,22.9,13.5,24044,Utah,827.1
24.4,4.1,20.4,86.4,15.5,23.7,11.8,19386,Utah,848.8
12.9,2.4,10.2,73.9,8.7,14.3,5.6,35001,Utah,737.3
22.4,7.6,25.2,81.9,16.9,26.5,7.7,51311,Utah,895.8
24.7,7.1,24.5,81.5,20.1,20.1,12.4,26995,Utah,872.3
16.1,4.7,18.5,79.3,6.3,15.7,11.2,443738,Utah,748.9
17.0,3.5,18.1,75.9,9.3,22.9,6.3,18974,Utah,851.4
17.3,5.4,19.3,75.3,9.9,21.7,11.4,118885,Utah,631.8
20.1,5.7,21.8,81.3,14.6,20.0,9.9,210749,Utah,827.9
18.6,5.8,19.7,68.8,19.5,24.8,8.7,36965,Vermont,776.2
21.4,6.9,19.2,71.4,19.5,25.7,10.0,36999,Vermont,784.6
21.8,6.0,21.1,73.2,21.4,25.4,11.3,30440,Vermont,831.1
14.9,4.2,15.8,66.3,17.1,20.0,7.6,149613,Vermont,786.5
26.0,7.3,22.1,73.9,26.2,19.8,12.3,6602,Vermont,856.3
24.1,6.3,22.6,76.1,24.0,23.4,9.5,47914,Vermont,915.2
18.4,4.2,21.3,69.2,15.3,26.9,7.2,7703,Vermont,848.9
18.3,5.8,20.0,64.1,19.7,21.2,8.8,24495,Vermont,795.4
21.4,5.5,19.9,69.0,20.6,23.2,9.2,29287,Vermont,794.6
24.6,7.5,21.5,72.4,22.9,26.2,13.2,27640,Vermont,836.7
21.4,6.3,21.6,74.2,22.8,24.1,10.3,63743,Vermont,805.4
18.5,6.0,19.3,69.7,20.9,22.0,8.4,59478,Vermont,775.9
18.7,4.8,18.6,66.5,19.9,23.6,9.7,44143,Vermont,811.2
18.7,5.1,18.4,68.3,19.5,22.9,8.7,58028,Vermont,741.1
33.3,12.7,26.0,76.2,21.3,28.5,15.4,39424,Virginia,974.8
18.3,4.4,16.5,64.9,17.1,24.2,7.6,90717,Virginia,734.1
12.2,5.2,13.6,66.6,15.4,17.1,7.4,195965,Virginia,639.4
23.5,5.0,27.5,74.2,21.2,24.4,7.7,69725,Virginia,786.1
22.0,9.8,27.6,75.2,24.3,26.6,8.0,65286,Virginia,792.5
19.3,5.5,24.8,72.0,18.1,25.5,6.7,288876,Virginia,878.4
30.4,8.3,24.2,79.4,20.8,29.6,9.2,42530,Virginia,968.4
34.8,11.6,33.4,83.5,32.5,32.2,10.4,25391,Virginia,938.2
14.6,3.6,15.1,71.5,14.7,19.4,5.8,1006529,Virginia,633.3
22.2,7.5,22.2,67.8,21.4,32.6,5.8,64997,Virginia,850.0
20.9,7.5,29.2,83.5,31.2,25.0,11.5,50345,Virginia,835.2
19.4,8.6,21.2,70.9,23.5,20.7,6.7,69123,Virginia,793.9
31.8,11.7,32.0,77.7,21.5,42.4,16.3,36284,Virginia,995.1
18.0,5.8,21.7,72.8,25.1,23.1,5.3,97426,Virginia,847.7
22.2,5.7,22.7,72.1,17.0,24.0,7.9,280581,Virginia,849.5
29.7,8.9,22.6,83.9,29.1,27.3,13.5,56501,Virginia,918.4
22.5,6.3,28.1,77.8,17.4,22.4,9.3,33417,Virginia,954.7
11.5,2.7,17.5,76.4,13.4,14.6,3.7,255518,Virginia,745.1
32.6,7.4,26.4,84.4,24.3,27.3,15.3,32529,Virginia,1000.8
16.9,4.6,23.6,77.0,17.9,17.1,15.1,84303,Virginia,874.7
32.0,10.6,30.9,80.1,27.3,32.2,12.4,61854,Virginia,903.9
21.9,7.3,23.5,71.8,20.6,24.0,6.1,348588,Virginia,803.3
40.2,8.3,31.9,80.4,32.5,34.9,13.0,35081,Virginia,1000.0
20.3,9.4,19.2,70.3,13.2,30.9,6.9,88172,Virginia,815.4
26.5,4.1,20.9,72.1,21.5,24.2,9.0,71251,Virginia,760.4
29.9,7.7,29.8,76.9,28.6,36.3,16.7,28949,Virginia,1043.7
22.7,6.3,21.3,73.7,21.8,21.8,6.0,116549,Virginia,862.3
21.9,4.8,23.3,78.7,19.2,23.3,5.0,117874,Virginia,865.2
30.9,8.9,25.9,79.2,26.3,34.5,15.5,44795,Virginia,1055.3
30.2,8.9,24.1,77.8,24.1,27.7,12.2,52085,Virginia,901.5
32.8,14.6,31.4,79.5,28.3,34.2,19.4,41997,Virginia,1076.8
18.6,7.6,15.9,67.6,18.6,18.4,8.8,135337,Virginia,691.0
21.0,5.5,22.7,78.5,22.1,22.1,9.1,218968,Virginia,916.5
36.8,13.8,29.3,75.0,26.6,31.1,19.3,46143,Virginia,1096.3
24.5,6.9,23.8,75.6,21.5,24.6,13.1,145579,Virginia,913.2
19.7,9.2,24.0,73.4,27.6,28.3,17.5,66973,Virginia,953.8
21.5,8.5,26.0,75.4,28.5,24.7,14.0,179899,Virginia,931.7
23.0,6.6,24.9,75.1,21.0,26.5,19.8,231954,Virginia,1032.2
31.8,9.7,37.4,80.2,26.0,31.6,18.5,32604,Virginia,1258.0
31.0,12.0,30.7,78.0,22.4,27.1,16.5,100169,Virginia,1024.7
26.0,8.2,24.8,69.6,26.0,26.6,20.2,193777,Virginia,1107.4
30.1,8.7,21.0,77.8,29.4,28.1,16.9,92631,Virginia,1046.6
25.8,6.9,26.1,80.4,17.7,27.0,11.4,78994,Virginia,1061.8
19.8,5.1,19.5,75.3,21.5,20.6,8.0,438415,Virginia,812.7
25.6,13.0,24.4,78.2,24.6,34.2,14.5,21178,Washington,811.2
18.8,6.7,22.9,78.9,19.4,23.8,10.1,157950,Washington,789.6
21.4,6.2,21.1,77.7,18.7,27.6,12.6,69791,Washington,745.3
21.0,6.3,22.4,73.0,20.4,27.8,11.9,69689,Washington,769.1
16.4,5.9,24.8,76.2,20.2,24.1,10.5,403766,Washington,803.5
19.5,8.0,29.4,73.4,23.4,28.0,13.7,97325,Washington,916.6
19.3,5.1,20.1,79.6,21.2,24.5,11.9,34977,Washington,740.3
22.8,4.8,21.8,81.7,15.0,17.9,15.3,63011,Washington,840.9
23.2,7.2,26.0,79.7,19.4,30.2,15.8,81229,Washington,791.1
22.6,11.3,29.1,80.9,26.6,33.8,15.0,70900,Washington,989.5
13.5,5.2,22.9,69.4,21.0,21.6,8.3,79252,Washington,715.0
12.2,6.1,16.8,70.7,17.8,29.8,11.0,28666,Washington,691.9
14.1,5.2,16.8,73.8,16.0,21.2,9.4,1793583,Washington,712.2
14.7,7.5,24.6,72.9,21.1,25.2,9.2,240661,Washington,825.2
12.6,5.8,19.6,72.7,16.6,19.3,13.4,36841,Washington,756.3
21.6,5.6,27.2,77.5,23.0,24.2,13.5,72449,Washington,897.3
22.6,10.1,26.0,75.0,25.6,33.9,11.9,54359,Washington,853.9
24.0,7.7,19.8,69.1,22.0,22.4,18.7,39782,Washington,853.8
22.7,8.0,34.9,74.3,27.4,39.2,13.7,21579,Washington,891.2
23.7,8.8,21.3,86.5,23.1,32.2,15.0,12673,Washington,917.9
17.7,7.2,23.9,77.1,22.5,24.7,10.7,753787,Washington,879.8
15.2,6.6,23.3,75.3,19.0,28.2,11.5,113171,Washington,794.2
19.8,4.1,19.7,81.3,19.1,20.2,10.9,10664,Washington,812.5
17.1,5.5,22.2,78.8,21.7,23.0,9.4,655944,Washington,806.5
18.4,6.5,21.4,76.3,22.3,24.3,12.8,440706,Washington,823.5
25.1,6.9,26.6,74.8,27.6,33.3,14.6,42013,Washington,865.7
14.6,6.3,23.7,73.8,21.1,25.9,9.0,228867,Washington,783.0
15.8,6.7,18.9,79.7,14.8,26.9,14.0,57558,Washington,769.5
15.3,4.6,18.0,74.0,17.9,26.3,13.0,183471,Washington,747.4
13.0,4.3,15.8,75.5,14.7,15.6,15.8,40170,Washington,707.7
23.8,7.9,26.2,79.1,20.1,27.0,17.9,231586,Washington,824.3
30.8,8.0,28.5,81.9,30.4,25.1,11.6,93394,West Virginia,980.6
37.3,13.4,32.2,84.2,31.8,41.9,18.4,25703,West Virginia,1128.4
32.8,11.2,28.7,82.3,29.6,26.7,11.7,24515,West Virginia,947.0
22.5,9.8,25.9,80.9,23.8,30.4,17.6,94031,West Virginia,1027.1
32.2,10.5,30.4,79.0,28.1,31.9,20.2,46823,West Virginia,1052.8
33.1,11.4,28.6,78.6,27.0,34.5,16.1,35027,West Virginia,954.0
21.1,9.5,27.1,71.4,21.6,31.2,14.1,22025,West Virginia,928.6
28.6,7.8,26.4,84.8,28.9,20.8,10.8,31350,West Virginia,979.5
27.0,9.5,26.6,80.6,27.0,32.4,16.7,68369,West Virginia,1021.6
28.9,8.4,27.8,79.2,29.8,30.4,14.9,28403,West Virginia,973.2
22.5,10.4,27.0,76.1,29.5,28.8,9.3,49206,West Virginia,1002.4
26.9,10.3,27.5,77.4,25.7,33.2,15.2,193559,West Virginia,1016.4
30.5,11.0,32.4,85.2,38.9,28.6,21.4,22374,West Virginia,1138.6
34.3,12.5,38.7,82.9,31.9,41.7,21.0,36237,West Virginia,1235.9
39.0,15.5,31.0,80.6,31.5,44.9,32.4,24273,West Virginia,1254.9
28.4,6.5,25.7,76.9,23.9,31.0,16.2,56509,West Virginia,971.2
24.3,9.5,22.7,81.6,30.3,28.7,14.9,34337,West Virginia,892.3
29.0,12.1,31.1,77.9,30.4,29.7,17.2,25761,West Virginia,1032.0
29.3,12.6,23.1,78.8,26.1,35.7,18.8,61589,West Virginia,1030.1
24.3,6.1,27.0,82.3,26.9,32.5,13.9,27028,West Virginia,976.7
42.7,12.8,35.4,85.9,35.3,41.0,24.7,27210,West Virginia,1242.6
18.3,7.9,24.2,76.9,19.4,23.1,15.3,84386,West Virginia,900.4
33.9,9.9,26.7,79.6,25.8,37.3,19.2,26464,West Virginia,1000.6
22.1,10.4,23.4,84.4,27.4,28.7,14.6,45112,West Virginia,945.3
25.9,7.7,29.6,79.3,26.2,27.9,16.1,30115,West Virginia,1026.6
25.9,9.5,23.7,83.5,23.2,32.8,9.7,54443,West Virginia,954.2
30.4,11.4,26.1,80.7,26.3,36.8,18.0,79167,West Virginia,1016.1
32.5,8.2,26.5,73.5,28.4,36.4,17.4,28571,West Virginia,1025.5
28.0,10.7,26.2,82.7,29.7,25.8,18.8,23712,West Virginia,966.3
32.6,9.1,31.1,83.4,27.7,38.6,17.3,42091,West Virginia,1000.8
25.9,9.8,25.0,77.7,26.3,32.6,14.0,87047,West Virginia,960.0
38.2,10.5,26.9,85.1,35.3,40.2,21.6,24479,West Virginia,1102.7
28.2,5.7,23.6,79.0,25.9,23.5,9.2,45834,Wisconsin,798.7
18.7,6.2,20.7,78.1,24.1,23.9,8.1,238987,Wisconsin,738.4
14.5,8.6,22.7,75.4,17.0,21.6,4.8,44137,Wisconsin,691.2
19.2,5.6,20.6,75.9,23.0,27.0,9.0,59950,Wisconsin,804.7
28.2,2.2,24.4,75.9,22.7,16.5,10.1,34098,Wisconsin,728.0
23.3,5.0,23.6,82.2,23.8,23.4,6.2,55364,Wisconsin,838.1
13.3,4.2,18.6,75.1,18.2,21.0,7.9,458106,Wisconsin,729.3
20.3,6.0,27.7,77.2,20.3,22.4,6.7,88103,Wisconsin,872.0
19.4,8.2,25.8,85.7,28.1,24.1,11.3,44208,Wisconsin,883.2
13.1,4.6,21.8,73.7,21.6,22.3,9.6,94089,Wisconsin,718.8
19.2,7.5,25.4,80.1,20.1,31.3,6.9,99337,Wisconsin,770.8
26.0,9.1,30.3,83.4,26.6,31.8,9.5,49671,Wisconsin,804.7
20.0,6.2,23.2,81.7,20.6,18.6,6.7,35165,Wisconsin,792.9
20.3,4.9,25.5,82.0,24.7,23.4,5.7,79328,Wisconsin,759.8
19.4,4.7,26.8,79.2,29.9,25.6,8.8,160544,Wisconsin,857.8
15.9,4.9,21.5,78.2,27.0,19.8,9.7,108958,Wisconsin,803.5
23.1,6.9,27.2,78.2,25.1,31.6,7.0,81949,Wisconsin,785.5
18.7,5.6,24.4,75.6,17.9,22.6,7.2,128941,Wisconsin,693.0
21.9,10.4,29.2,81.0,30.8,26.1,8.9,43406,Wisconsin,843.8
23.1,6.4,21.8,77.5,25.7,24.2,16.2,921654,Wisconsin,913.4
21.3,7.4,27.0,72.2,35.5,25.6,10.2,42644,Wisconsin,879.4
14.6,5.4,23.5,80.6,19.2,21.6,5.6,171006,Wisconsin,714.3
14.3,3.5,17.1,69.9,16.5,27.1,3.6,86072,Wisconsin,696.8
18.2,10.0,20.3,85.3,18.8,14.7,6.4,39102,Wisconsin,782.9
15.1,4.1,21.3,83.8,19.0,13.5,8.4,67585,Wisconsin,705.0
20.4,7.1,22.1,78.2,25.9,26.7,9.3,195708,Wisconsin,796.9
23.3,7.5,24.4,79.5,26.4,19.5,8.3,157538,Wisconsin,819.6
13.6,4.5,25.7,81.1,20.7,17.6,4.2,77144,Wisconsin,805.1
28.4,7.3,28.4,75.7,22.6,22.9,7.6,57746,Wisconsin,763.9
23.9,7.1,24.8,80.9,20.5,31.4,8.2,41335,Wisconsin,836.2
18.0,5.0,21.7,79.6,25.4,23.8,6.6,114610,Wisconsin,782.1
24.6,2.9,21.9,87.1,20.4,14.3,10.9,29055,Wisconsin,809.8
17.7,5.2,23.3,78.3,21.4,26.9,8.0,99844,Wisconsin,811.7
17.8,3.3,19.2,78.1,17.9,21.5,4.6,126158,Wisconsin,739.5
16.6,5.2,17.6,73.4,16.8,22.9,4.1,378971,Wisconsin,740.8
